DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2013,30.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2014,28.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2015,26.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2016,21.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2017,16.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2018,15.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2019,11.8,bu,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2020,17.7,u,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2021,15.1,u,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2022,10.4,u,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2023,11.1,u,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2024,11.7,u,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2010,8.7,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2011,7.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2012,8.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2013,8.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2014,8.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2015,8.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2016,8.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2017,8.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2018,7.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2019,7.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2020,8.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2021,8.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2022,6.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2023,7.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Switzerland,2024,8.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2009,14.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2010,17.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2011,21.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2012,26.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2013,36.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2014,34.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2015,31.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2016,31.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2017,22.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2018,16.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2019,15.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2020,11.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2021,16.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2022,18.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2023,14.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Cyprus,2024,13.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2009,16.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2010,18.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2011,18.0,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2012,19.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2013,19.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2014,17.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2015,14.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2016,11.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2017,8.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2018,7.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2019,6.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2020,9.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2021,9.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2022,7.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2023,8.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Czechia,2024,9.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2009,10.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2010,9.4,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2011,8.4,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2012,7.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2013,7.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2014,7.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2015,7.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2016,6.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2017,6.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2018,5.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2019,5.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2020,7.4,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2021,6.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2022,5.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2023,5.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Germany,2024,5.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2009,11.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2010,13.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2011,14.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2012,14.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2013,13.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2014,12.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2015,11.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2016,10.8,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2017,11.9,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2018,9.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2019,9.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2020,10.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2021,11.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2022,10.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2023,11.3,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Denmark,2024,14.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2009,20.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2010,21.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2011,22.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2012,24.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2013,25.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2014,24.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2015,22.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2016,21.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2017,19.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2018,17.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2019,16.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2020,18.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2021,16.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2022,14.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2023,14.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Euro area – 20 countries (from 2023),2024,14.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2009,21.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2010,28.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2011,20.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2012,18.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2013,19.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2014,9.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2015,12.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2016,10.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2017,9.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2018,11.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2019,12.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2020,18.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2021,15.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2022,16.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2023,16.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Estonia,2024,19.3,u,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2009,33.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2010,41.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2011,52.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2012,63.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2013,64.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2014,58.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2015,54.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2016,52.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2017,49.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2018,45.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2019,41.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2020,42.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2021,40.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2022,38.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2023,29.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Greece,2024,24.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2009,36.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2010,39.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2011,44.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2012,51.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2013,54.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2014,52.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2015,48.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2016,44.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2017,37.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2018,33.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2019,34.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2020,39.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2021,36.2,d,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Spain,2022,30.9,d,
